year,Argentina,Bolivia,Brazil,Colombia,Chile,Guyana,Peru,Paraguay,Suriname,Uruguay,Venezuela,France
2001,8448535600.0,15576277000.0,98250780000.0,8165508600.0,12933183.0,137113200.0,32413448.0,9717544000.0,48459190.0,25276056.0,484967580.0,5205472.0
2002,12289638000.0,20471513000.0,137105070000.0,8442525000.0,41858430.0,168399710.0,62090010.0,10711897000.0,120691830.0,74271890.0,243476580.0,13040513.0
2003,15410775000.0,15572950000.0,99823310000.0,10420713000.0,125736310.0,178864340.0,236714830.0,10345636000.0,16206727.0,194158750.0,729517440.0,12235542.0
2004,12610177000.0,35591750000.0,128620680000.0,11979778000.0,96972050.0,560098100.0,85487810.0,6417167400.0,156969150.0,224854910.0,506540770.0,22431828.0
2005,9383964000.0,32582717000.0,144442000000.0,3481978000.0,86883096.0,135020290.0,651435300.0,11764959000.0,32413456.0,173283180.0,286837630.0,9713303.0
2006,11301618000.0,30124714000.0,79446140000.0,3208986000.0,56133236.0,96274400.0,321236670.0,9779205000.0,109475920.0,152300320.0,196090690.0,9605973.0
2007,9693878000.0,28653013000.0,243435730000.0,14093147000.0,23129468.0,221474080.0,131478424.0,14224679000.0,16206728.0,89029670.0,994889300.0,9552310.0
2008,14074526000.0,19629838000.0,98657980000.0,5947387000.0,66168532.0,107543980.0,203013400.0,6285474300.0,34023396.0,289628160.0,203174420.0,26832332.0
2009,12333482000.0,10391357000.0,44994340000.0,2963631400.0,121389470.0,110388210.0,157076460.0,6190380000.0,117203630.0,118813560.0,287749920.0,25168728.0
2010,7620382700.0,59264573000.0,249182060000.0,7665569000.0,142104030.0,29461896.0,668930000.0,5141558300.0,1878263.0,69710400.0,715940300.0,20714562.0
2011,9675954000.0,20033503000.0,93826980000.0,3373253600.0,100567580.0,134590980.0,85863460.0,5138982000.0,52591370.0,78350400.0,262795870.0,2629567.0
2012,10274046000.0,19430207000.0,163012800000.0,2814872800.0,50659440.0,301058750.0,311899000.0,5785856000.0,177415380.0,139903780.0,210526460.0,29730222.0
2013,9515389000.0,11421721000.0,57610730000.0,5595078000.0,45829612.0,83072900.0,322149000.0,5606294000.0,9337649.0,71749650.0,461891780.0,8049699.0
2014,4200118800.0,5386645000.0,103392444000.0,7059211300.0,245515860.0,187289680.0,134537310.0,4113235700.0,104270450.0,7942367.0,429746700.0,21680520.0
2015,6569038300.0,13145267000.0,125835370000.0,2492079900.0,53986650.0,414935230.0,225123260.0,2698366500.0,127882904.0,156378820.0,338624060.0,15294427.0
2016,7037638000.0,22127071000.0,99052044000.0,7570688500.0,215356300.0,284100740.0,429102660.0,5070022700.0,21573192.0,30696184.0,878275900.0,28173948.0
2017,7569132500.0,17244496000.0,148488520000.0,3174372400.0,172961220.0,331379300.0,150475710.0,7363382300.0,48834840.0,31340164.0,182459840.0,12396535.0
2018,7117652000.0,10620452000.0,55529513000.0,6834893300.0,19909588.0,139259800.0,127882890.0,4200762600.0,30481530.0,78296740.0,559883460.0,14650452.0
2019,5331691500.0,37950636000.0,131610890000.0,4324084000.0,88654030.0,176073780.0,475307940.0,8964898000.0,121228490.0,50391110.0,555482900.0,12503864.0
2020,23377080000.0,25818448000.0,147466910000.0,5114618400.0,41107132.0,457544960.0,779479300.0,13065255000.0,14274799.0,195339360.0,554248640.0,4937149.0
